Benchmarking C matrix multiplication program (Windows):
---------------------------------------------------------------------
Size    Run     Time(s)     CPU_user(s)    CPU_sys(s)     Memory(MB)  
---------------------------------------------------------------------
128     1       3.501091    0.000000       0.015625       0.906250    
128     2       3.575341    0.000000       0.015625       0.906250    
128     3       3.546894    0.000000       0.015625       0.906250    
128     4       3.734118    0.000000       0.015625       0.906250    
128     5       4.311723    0.000000       0.015625       0.906250    
256     1       3.836615    0.000000       0.015625       0.906250    
256     2       5.242101    0.000000       0.015625       0.906250    
256     3       4.354347    0.000000       0.015625       0.808594    
256     4       5.269457    0.000000       0.015625       0.808594    
256     5       5.126727    0.000000       0.015625       0.808594    
512     1       5.088743    0.000000       0.015625       0.808594    
512     2       3.770850    0.000000       0.015625       0.808594    
512     3       3.901810    0.000000       0.015625       0.808594    
512     4       3.363542    0.000000       0.015625       0.808594    
512     5       4.330774    0.000000       0.015625       0.808594    
768     1       3.738342    0.000000       0.015625       0.808594    
768     2       3.866645    0.000000       0.015625       0.808594    
768     3       4.280061    0.000000       0.015625       0.808594    
768     4       4.271363    0.000000       0.015625       0.808594    
768     5       3.594261    0.000000       0.015625       0.808594    
1024    1       4.028487    0.000000       0.015625       0.808594    
1024    2       4.421613    0.000000       0.015625       0.808594    
1024    3       4.449194    0.000000       0.015625       0.808594    
1024    4       3.639953    0.000000       0.015625       0.808594    
1024    5       4.199069    0.000000       0.015625       0.808594    
