Benchmarking Java matrix multiplication program:
--------------------------------------------------------------------------------
Size     Run      Time(s)      CPU_total(s)    Memory(MB)  
--------------------------------------------------------------------------------
128      1        2,595848     0,015625        2,88        
128      2        2,757642     0,000000        3,76        
128      3        2,834389     0,000000        3,76        
128      4        3,031310     0,015625        3,76        
128      5        3,386154     0,000000        3,76        
256      1        3,390866     0,000000        3,76        
256      2        2,556906     0,015625        4,00        
256      3        2,798305     0,000000        4,00        
256      4        2,951302     0,000000        4,00        
256      5        2,964246     0,000000        4,00        
512      1        2,947794     0,000000        4,44        
512      2        3,003323     0,015625        4,44        
512      3        2,857161     0,031250        4,44        
512      4        2,900198     0,000000        4,44        
512      5        2,913743     0,015625        4,44        
768      1        2,917790     0,000000        4,44        
768      2        2,940293     0,000000        4,89        
768      3        3,017808     0,015625        4,89        
768      4        3,142984     0,015625        4,89        
768      5        3,147460     0,031250        4,89        
1024     1        3,146837     0,000000        4,89        
1024     2        2,884281     0,000000        4,89        
1024     3        3,100804     0,000000        5,34        
1024     4        3,026717     0,000000        5,34        
1024     5        2,713060     0,000000        5,34      
