Benchmarking Python matrix multiplication program:
--------------------------------------------------------------------------------
Size     Run      Time(s)      CPU_total(s)    Memory(MB)  
--------------------------------------------------------------------------------
128      1        0.300143     0.000000        0.25        
128      2        0.299820     0.000000        0.00        
128      3        0.306010     0.000000        0.00        
128      4        0.296515     0.000000        0.00        
128      5        0.276187     0.000000        0.00        
256      1        2.205157     0.015625        0.00        
256      2        2.655673     0.000000        0.00        
256      3        2.314034     0.000000        0.00        
256      4        2.339116     0.000000        0.00        
256      5        2.689360     0.000000        0.00        
512      1        21.463843    0.000000        0.05        
512      2        19.707099    0.000000        0.00        
512      3        21.880578    0.000000        -0.06       
512      4        22.451522    0.000000        0.00        
512      5        22.188081    0.000000        0.00        
768      1        77.909200    0.000000        -0.03       
768      2        71.357849    0.000000        0.00        
768      3        68.813604    0.000000        0.12        
768      4        73.512293    0.000000        -0.02       
768      5        77.695354    0.000000        -0.02       
1024     1        185.381879   0.015625        0.02        
1024     2        166.610795   0.000000        -0.02       
1024     3        181.970430   0.000000        0.02        
1024     4        165.876453   0.000000        -0.01       
1024     5        170.377884   0.000000        -0.44       
